Simulacion,cantidad_individuos,p_mutacion,cantidad_maxima_generaciones,tiempo_maximo,p_optimizacion_deterministica,probabilidad_saltar_periodo,peso_seleccion_paso,peso_seleccion_demanda,peso_mover_periodo,peso_cambiar_task,intentos_mutacion,probabilidad_reducir,probabilidad_completo,Generacion 0,Generacion 1,Generacion 2,Generacion 3,Generacion 4,Generacion 5,Generacion 6,Generacion 7,Generacion 8,Generacion 9,Generacion 10,Valor_Incumbente,Hubo_Mejora,Porc_Mejora_Aptitud
492,10,0.01,10,3600,1.0,0.05,1,4,1,4,10,0.33,0.66,963.7549978102,965.3395172936,971.0919662665999,980.2155956724,980.5920175796,1007.3849986655999,1001.7364167024,1002.5742595108001,1001.7710328442001,996.5314246186001,992.283284434,968.989520908,False,0.02960118151254278
493,10,0.01,10,3600,0.0,0.05,1,4,1,4,1,0.66,0.33,966.7952496493999,973.3273275648,978.5735326024,982.2810974496,979.7003900652,981.7606109372,994.7860050754,995.808711596,982.4002203694001,983.344588675,986.8592082212001,978.506672978,False,0.020753058705114874
494,10,0.01,10,3600,1.0,0.05,1,4,1,4,1,0.66,0.33,963.7549978102,958.1506247466001,970.0638625304,978.9369665812001,974.3661687833999,978.351722189,973.2427960090001,977.8880800452,988.6114251746,993.2653378299999,989.1514051301999,961.54243657,False,0.02635151815316592
495,10,0.01,10,3600,0.0,0.05,1,4,1,4,2,0.66,0.33,957.615163015,964.8744855186,981.6401342478,989.6723524806,992.3685436066,983.9016179906,988.1365060052,991.187653185,992.3906520704,987.7606644233999,990.7292255586001,975.262048986,False,0.03457971826526037
496,10,0.01,10,3600,1.0,0.05,1,4,1,4,2,0.66,0.33,959.0971973168,960.229824844,951.173933249,964.4624936568,967.5787802248,966.6937389638,970.4942109322001,960.9951074156,962.0298004966,964.8507295568,968.7782609384,951.309813334,False,0.010093933804294278
497,10,0.01,10,3600,0.0,0.05,1,4,1,4,10,0.66,0.33,967.6408842694,969.5621558526,975.0666841185999,981.2730349704,986.8300512528,989.8658818354,985.2546449731999,996.0323707424001,1001.5351421706,997.6035354562,996.7311458103999,973.3239199239999,False,0.030063076099728865
498,10,0.01,10,3600,1.0,0.05,1,4,1,4,10,0.66,0.33,967.6408842694,969.1175232292001,975.634523576,973.984392916,983.512390691,988.0370145385999,989.6749027550001,992.9299214647999,987.5816650628,985.1928088545999,986.3973631672001,970.39528362,False,0.019383718901007204
499,10,0.01,10,3600,0.0,0.05,1,4,1,4,1,0.66,0.66,957.615163015,962.822929191,960.3044986066,965.4013037352,972.9326121484,979.7576404371999,976.0770521564,980.823720684,975.6853916665999,970.041985573,982.4209586382,968.769197976,False,0.025903720598053452
500,10,0.01,10,3600,1.0,0.05,1,4,1,4,1,0.66,0.66,963.7549978102,958.1506247466001,970.0638625304,978.9369665812001,974.3661687833999,978.351722189,973.2427960090001,977.8880800452,988.6114251746,993.2653378299999,989.1514051301999,961.54243657,False,0.02635151815316592
501,10,0.01,10,3600,0.0,0.05,1,4,1,4,2,0.66,0.66,959.0971973168,960.4437556214,952.480111831,971.1491885024,976.1960061145999,992.3869556262,992.5635947651999,994.5692352096,990.513058323,993.5231755824,995.2943477315999,969.139707972,False,0.03774085725207642
