Maquina,Start,End,Producto,Demanda,task_mode,paso,delta,Activity
MAQ120,753,759,PRINTED RIBBON,4,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|4|Anti-Shrinkage TM2|1
MAQ120,760,766,PRINTED RIBBON,10,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|10|Anti-Shrinkage TM2|1
MAQ120,769,772,PRINTED RIBBON,25,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|25|Sublimation TM3|0
MAQ120,773,779,PRINTED RIBBON,9,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|9|Anti-Shrinkage TM2|1
MAQ120,780,786,PRINTED RIBBON,2,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|2|Anti-Shrinkage TM2|1
MAQ120,787,793,PRINTED RIBBON,12,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|12|Anti-Shrinkage TM2|1
MAQ120,794,800,PRINTED RIBBON,3,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|3|Anti-Shrinkage TM2|1
MAQ120,802,805,PRINTED RIBBON,27,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|27|Sublimation TM3|0
MAQ120,806,809,PRINTED RIBBON,11,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|11|Sublimation TM3|0
MAQ120,810,816,PRINTED RIBBON,17,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|17|Anti-Shrinkage TM2|1
MAQ120,817,823,PRINTED RIBBON,5,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|5|Anti-Shrinkage TM2|1
MAQ120,824,827,PRINTED RIBBON,7,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|7|Sublimation TM3|0
MAQ120,830,836,PRINTED RIBBON,7,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|7|Anti-Shrinkage TM2|1
MAQ120,837,843,PRINTED RIBBON,11,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|11|Anti-Shrinkage TM2|1
MAQ120,844,847,PRINTED RIBBON,23,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|23|Sublimation TM3|0
MAQ120,848,851,PRINTED RIBBON,28,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|28|Sublimation TM3|0
MAQ120,852,855,PRINTED RIBBON,24,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|24|Sublimation TM3|0
MAQ120,856,862,PRINTED RIBBON,24,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|24|Anti-Shrinkage TM2|1
MAQ120,863,869,PRINTED RIBBON,23,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|23|Anti-Shrinkage TM2|1
MAQ120,870,873,PRINTED RIBBON,22,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|22|Sublimation TM3|0
MAQ120,874,880,PRINTED RIBBON,22,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|22|Anti-Shrinkage TM2|1
MAQ120,881,884,PRINTED RIBBON,6,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|6|Sublimation TM3|0
MAQ120,886,889,PRINTED RIBBON,20,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|20|Sublimation TM3|0
MAQ120,891,894,PRINTED RIBBON,29,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|29|Sublimation TM3|0
MAQ120,895,901,PRINTED RIBBON,25,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|25|Anti-Shrinkage TM2|1
MAQ120,902,908,PRINTED RIBBON,20,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|20|Anti-Shrinkage TM2|1
MAQ120,909,915,PRINTED RIBBON,6,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|6|Anti-Shrinkage TM2|1
MAQ120,916,922,PRINTED RIBBON,19,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|19|Anti-Shrinkage TM2|1
MAQ120,923,929,PRINTED RIBBON,29,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|29|Anti-Shrinkage TM2|1
MAQ120,930,936,PRINTED RIBBON,28,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|28|Anti-Shrinkage TM2|1
MAQ120,937,943,PRINTED RIBBON,27,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|27|Anti-Shrinkage TM2|1
MAQ120,944,947,PRINTED RIBBON,26,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|26|Sublimation TM3|0
MAQ120,948,954,PRINTED RIBBON,26,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|26|Anti-Shrinkage TM2|1
